Site ID,Current Site Name,Line1 Address,Comu ,Site Municipality,Zip Code ,Contamination
556691,COMMERCIAL BUILDING @ 98 116 HALSEY STREET,98 116 HALSEY ST,0714,Newark City,07102    ,RAO-A (Unrestricted Use)
494992,COMMERCIAL BUILDINGS @ BLOCK #52,679 705 BROAD ST,0714,Newark City,07102    ,RAO-A (Unrestricted Use)
8604,COMMERCIAL LAMINATES INC,49 EMPIRE ST,0714,Newark City,07114    ,LSRP Oversight
74091,COMMERCIAL PROPERTY,60 70 HALSEY ST,0714,Newark City,07105    ,Suspected
619873,COMMONS BLUE DOORS,23 55 14TH AVE,0714,Newark City,07103    ,RAO-A (Unrestricted Use)
619856,COMMONS YELLOW DOORS,228 260 HUNTERDON ST,0714,Newark City,07103    ,RAO-A (Unrestricted Use)
360213,COMMUNITY DAY NURSERY,115 S MUNN AVE,0705,East Orange City,07018    ,CCF Approved
360217,COMMUNITY HILLS EARLY LEARNING CENTER,85 IRVINE TURNER BLVD,0714,Newark City,07103    ,CCF Approved
746068,COMMUNITY PARK PLAYGROUND IMPROVEMENTS,99 SLATTERY RD,0704,Cedar Grove Twp,07009    ,LSRP Oversight
8301,COMPASS LINCOLN MERCURY AUTO BODY SHOP FORMER,200 CENTRAL AVE,0717,Orange City Twp,07050    ,LSRP Oversight
20163,COMPENSATING TENSION CONTROLS INC @ ESSEX PASSAIC IND PK,11 YORK AVE,0721,West Caldwell Twp,07007    ,RAO-Entire Site (Unrestricted Use)
710313,CONBAHR PROPERTIES,470 GROVE ST,0709,Irvington Twp,07111    ,RAO-A (Unrestricted Use)
410305,CONCERNED MOM SOAR ON EAGLES WINGS PROPOSED,905 907 CHANCELLOR AVE,0709,Irvington Twp,07111    ,CCF Approved
54728,CONDOMINIUMS @ 413 CHESTNUT STREET,413 CHESTNUT ST,0714,Newark City,07105    ,LSRP Oversight
381510,CONGREGATION AGUDATH ISRAEL OF WEST ESSEX,20 ACADEMY RD,0703,Caldwell Boro,07006    ,RAO-Child Care Facility (Unrestricted Use)
228002,CONGREGATION AHAWAS ACHIM BNAI J&D,700 PLEASANT VALLEY WAY,0722,West Orange Twp,07052    ,Suspected
381297,CONGREGATION BETH EPHRAIM CHILD CARE PROPOSED,113 117 PARKER AVE,0711,Maplewood Twp,07040    ,LSRP Oversight
360219,CONGREGATION BNAI JESHURUN EARLY CHILDHOOD CENTER,1025 S ORANGE AVE,0712,Millburn Twp,07041    ,CCF Approved
53096,CONGREGATION DHEB SHALOM,170 SCOTLAND RD,0719,South Orange Village Twp,07079    ,Suspected
712980,CONRAIL,NYE AVE @ CONRAIL YARD,0709,Irvington Twp,07111    ,LSRP Oversight
65223,CONRAIL CORP BRILLS YARD,HAWKINS ST,0714,Newark City,07114    ,Suspected
64969,CONRAIL CORP MAHER TERMINALS,E YARD,0714,Newark City,07105    ,Suspected
8325,CONRAIL CORP OAK ISLAND TERMINAL,611 DELANCEY ST,0714,Newark City,07101    ,LSRP Oversight
623291,CONRAIL PROPERTY,357 391 WILSON AVE,0714,Newark City,07150    ,RAO-Entire Site (Unrestricted Use)
95760,CONTRACT FILLING INC,10 STEWART PL,0707,Fairfield Twp,07004    ,RAO-Entire Site (Restricted Use)
21921,CONTROL INSTRUMENTS CORP,25 LAW DR,0707,Fairfield Twp,07006    ,RAO-A (Limited Restricted Use)
655418,CONTROL POWER SYSTEMS INC,20 SPIELMAN RD,0707,Fairfield Twp,07004    ,RAO-ISRA Entire Site (Unrestricted Use)
409163,CONVERTING MACHINERY TECHNOLOGY,5 INDUSTRIAL RD,0707,Fairfield Twp,07004    ,RAO-A (Unrestricted Use)
14938,COOKSON PIGMENTS AMERICA INC,256 VANDERPOOL ST,0714,Newark City,071142494,LSRP Oversight
63781,COOK THOMAS H,49 DICKERSON ST,0714,Newark City,07101    ,Suspected
45546,COOPER INDUSTRIES INC WISS DIV,33 LITTLETON AVE,0714,Newark City,07107    ,LSRP Oversight
14010,COOPER LIGHTING INC P&K POLE PRODUCTS,84 FOUNDRY ST,0714,Newark City,07114    ,RAO-A (Unrestricted Use)
647162,CORCER,1 3 ST MARYS PL,0701,Belleville Twp,07109    ,RAO-A (Unrestricted Use)
74715,CORNELIA STREET,CORNELIA ST,0714,Newark City,07105    ,Suspected
41413,COUNTY CONCRETE CORP,64 GLENWOOD PL,0705,East Orange City,07017    ,LSRP Oversight
63750,COURTESY CONTAINER CORP SLF,105 135 HYATT LN,0714,Newark City,07101    ,LSRP Oversight
8649,COURT TOWERS URBAN RENEWAL,1 COURT ST,0714,Newark City,07102    ,LSRP Oversight
455519,COURTYARD BY MARRIOTT NEWARK DOWNTOWN,858 BROAD ST,0714,Newark City,07102    ,LSRP Oversight
8443,COVAR CORP,252 WRIGHT ST,0714,Newark City,071142631,Verified Unknown Source
73875,COVE GARDENS APARTMENTS,562 566 SCOTLAND RD,0717,Orange City Twp,07050    ,Suspected
9293,COVINOS SUNOCO SERVICE STATION,520 JORALEMON ST,0701,Belleville Twp,07109    ,LSRP Oversight
13986,COWDIN PRINTING @ WEST CALDWELL IND VILLAGE,8 FAIRFIELD CRESCENT,0721,West Caldwell Twp,07064    ,Known
8094,COZZOLINO CUSTOM MILLWORK INC,20 STANDISH AVE,0722,West Orange Twp,07052    ,CEA Established (Limited Restricted Use)
670096,CP MANAGEMENT GODDARD SCHOOL & SOUTH LIVINGSTON,92 S LIVINGSTON AVE,0710,Livingston Twp,07039    ,LSRP Oversight
8918,CRAIG MANUFACTURING INC,20 30 LORETTO ST,0709,Irvington Twp,07111    ,RAO-ISRA Entire Site (Restricted Use)
360221,CREATIVE BEGINNINGS PRESCHOOL,36 GOULD ST,0720,Verona Twp,07044    ,CCF Approved
70396,CREATIVE CONCEPTS CDC II PROPOSED,105 109 MILL RD,0709,Irvington Twp,07960    ,LSRP Oversight
360225,CREATIVE CONCEPTS CHILD DEVELOPMENT CENTER 2,219 223 ORANGE AVE,0709,Irvington Twp,07111    ,Suspected
376711,CREATIVE CONCEPTS CHILD DEVELOPMENT CENTER II,343 347 16TH AVE,0709,Irvington Twp,07111    ,CCF Approved
218067,CREATIVE FLOWERS & GIFTS SINGH & SONS TRAVEL,34 PARK AVE,0705,East Orange City,07107    ,LSRP Oversight
55765,CREATIVE GLASSICS INC,559 TREMONT AVE,0717,Orange City Twp,07050    ,No SRP Oversight Required
343422,CREST COMMUNITY DEVELOPMENT CORP,11TH ST & SPRINGFIELD AVE,0714,Newark City,07103    ,No SRP Oversight Required
20064,CROMPTON & KNOWLES COLORS INC,50 WEST ST,0702,Bloomfield Twp,07003    ,Verified Unknown Source
8255,CROMPTON & KNOWLES CORP,10 KINGSLAND ST,0716,Nutley Twp,07111    ,LSRP Oversight
8719,CROMPTON & KNOWLES CORP,52 AMSTERDAM ST,0714,Newark City,07105    ,LSRP Oversight
55883,CROSSTOWN PLUMBING SUPPLY,196 GROVE ST S,0705,East Orange City,07018    ,RAO-A (Unrestricted Use)
428094,CROW DISPOSAL & CONSTRUCTION,14 45TH ST,0711,Maplewood Twp,07040    ,RAO-A (Unrestricted Use)
36529,CRUZ CONSTRUCTION GARAGE,293 WILSON AVE,0714,Newark City,07105    ,RAO-A (Unrestricted Use)
8105,CRYSTAL CLEANERS,457 MT PLEASANT AVE,0722,West Orange Twp,07052    ,RAO-A (Restricted Use)
47834,CRYSTAL ICE CREAM CO,588 602 MARKET ST,0714,Newark City,07105    ,RAO-A (Unrestricted Use)
367633,CSS REALTY,57 75 PEDDIE ST,0714,Newark City,07108    ,RAO-Entire Site (Unrestricted Use)
8280,C&T EXPRESS SERVICE STATION FORMER,408 418 ALDEN ST,0717,Orange City Twp,07052    ,Known
278424,CUMMINS METROPOWER INC,RT 1/9 & 22,0714,Newark City,07114    ,Known
46674,CUMMINS POWER SYSTEMS,41 65 DOREMUS AVE,0714,Newark City,07105    ,RAO-Entire Site (Restricted Use)
55995,CURTO FRANK,51 WALNUT ST,0713,Montclair Twp,07042    ,RAO-A (Unrestricted Use)
649973,CVS PHARMACY,331 337 & 339 347 FERRY ST,0714,Newark City,07105    ,LSRP Oversight
8116,CVS PHARMACY #02813,217 MAIN ST,0722,West Orange Twp,07052    ,Known
129616,CVS PHARMACY NUTLEY,213 HARRISON ST,0716,Nutley Twp,07110    ,RAO-A (Unrestricted Use)
704446,DAAB KIDS 2,127 LINCOLN AVE,0717,Orange City Twp,07050    ,LSRP Oversight
63796,DAJ INC,418 CENTRAL AVE,0714,Newark City,07101    ,Suspected
617026,DALOIA AUTO,30 MAIN ST,0717,Orange City Twp,07050    ,LSRP Oversight
23328,DAMONS FOREIGN CAR CARE INC,295 HIGH ST,0717,Orange City Twp,07050    ,RAO-A (Unrestricted Use)
8102,DAN OIL CORP GULF SERVICE STATION,23 25 PARK AVE,0722,West Orange Twp,07052    ,LSRP Oversight
46273,DARDENS EXXON SERVICE STATION #31677,516 WILLIAM ST,0705,East Orange City,07018    ,LSRP Oversight
8440,DARLING DELAWARE CO INC,825 WILSON AVE,0714,Newark City,07105    ,Known
220984,DAVEN INDUSTRIES INC,5 JUST RD,0707,Fairfield Twp,07004    ,RAO-Entire Site (Unrestricted Use)
25541,DAVION INC @ RIVERSIDE IND PK,45 55 RIVERSIDE AVE,0714,Newark City,07104    ,RAO-A (Unrestricted Use)
120987,DAYTONA CARTING FORMER,171 BLANCHARD ST FORMER,0714,Newark City,07101    ,No SRP Oversight Required
30662,DCH MILLBURN AUDI,2185 2213 MILLBURN AVE,0711,Maplewood Twp,07040    ,RAO-A (Unrestricted Use)
42515,DEEPER LIFE BIBLE CHURCH,23 93 S 20TH ST,0709,Irvington Twp,07111    ,Known
360227,DEES HOMEWORK HELP PROGRAM,293 1ST AVE,0714,Newark City,07107    ,CCF Approved
424562,DE FRANK PAVING INC,90 92 WALNUT ST,0716,Nutley Twp,07110    ,RAO-A (Unrestricted Use)
14925,DELEET MERCHANDISING INC,26 36 BLANCHARD ST,0714,Newark City,07105    ,CEA Established (Limited Restricted Use)
9029,DELTA,37 CLINTON RD,0707,Fairfield Twp,07073    ,RAO-A (Unrestricted Use)
9256,DELTA OF BELLEVILLE,69 UNION AVE,0701,Belleville Twp,07109    ,LSRP Oversight
57125,DELTA PATAWALIA FOOD MART INC,185 PENNSYLVANIA AVE,0714,Newark City,07114    ,LSRP Oversight
8617,DELTA PLASTIC CORP,536 564 FERRY ST,0714,Newark City,07105    ,Known
8110,DELTA SERVICE STATION,385 MAIN ST,0722,West Orange Twp,07850    ,LSRP Oversight
8129,DELTA SERVICE STATION,3 CENTRAL AVE,0722,West Orange Twp,07801    ,RAO-A (Unrestricted Use)
8200,DELTA SERVICE STATION,451 IRVINGTON AVE,0719,South Orange Village Twp,07079    ,LSRP Oversight
8205,DELTA SERVICE STATION,252 IRVINGTON AVE,0719,South Orange Village Twp,07079    ,RAO-A (Limited Restricted Use)
8236,DELTA SERVICE STATION,67 73 S ESSEX AVE,0717,Orange City Twp,07050    ,LSRP Oversight
8241,DELTA SERVICE STATION,294 SCOTLAND RD,0717,Orange City Twp,07050    ,LSRP Oversight
8296,DELTA SERVICE STATION,29 35 FRANKLIN AVE,0716,Nutley Twp,07110    ,LSRP Oversight
8488,DELTA SERVICE STATION,638 RAYMOND BLVD,0714,Newark City,071050000,RAO-A (Unrestricted Use)
8552,DELTA SERVICE STATION,1126 1134 MCCARTER HWY,0714,Newark City,07102    ,RAO-A (Unrestricted Use)
